annee,division,position,pseudo
2026,Ligue 1,1,LST
2026,Ligue 1,2,Duch
2026,Ligue 1,3,Blek le Roc
2026,Ligue 2,1,Thomas P
2026,Ligue 2,2,Le Général
2026,Ligue 2,3,Gonz
2026,Ligue 3,1,Troyan
2026,Ligue 3,2,GeLo 59
2026,Ligue 3,3,FC Terrich
2026,Ligue 3,3,Batistuta
2026,Coupe,Vainqueur,Batistuta
2026,Coupe,Finaliste,Nums
2025,Ligue 1,1,Thomas P
2025,Ligue 1,2,LST
2025,Ligue 1,3,Thib
2025,Ligue 2,1,Skippy
2025,Ligue 2,2,Arnoldo
2025,Ligue 2,3,Kuerten26
2025,Ligue 3,1,GeLo 59
2025,Ligue 3,2,Charles Al-khelaifi
2025,Ligue 3,3,Moktar
2025,Coupe,Vainqueur,Qifran
2025,Coupe,Finaliste,Benhijk
2024,Ligue 1,1,Thib
2024,Ligue 1,2,Dimitri S
2024,Ligue 1,3,Kazu
2024,Ligue 2,1,Arnoldo
2024,Ligue 2,2,Commandant de Bord
2024,Ligue 2,3,Massi
2024,Ligue 3,1,Blek le Roc
2024,Ligue 3,2,RobertaFlamengo
2024,Ligue 3,3,Damoki Sakai
2024,Coupe,Vainqueur,GeLo 59
2024,Coupe,Finaliste,Claquos
2023,Ligue 1,1,Martial
2023,Ligue 1,2,Thomas P
2023,Ligue 1,3,Nénéfin
2023,Ligue 2,1,Skippy
2023,Ligue 2,2,La Wish
2023,Ligue 2,3,GF38
2023,Ligue 3,1,RomAulas
2023,Ligue 3,2,Vince77
2023,Ligue 3,3,Johnjohn
2023,Coupe,Vainqueur,Martial
2023,Coupe,Finaliste,Vince77
2021,Ligue 1,1,Dimitri S
2021,Ligue 1,2,Kazu
2021,Ligue 1,3,Zenigata
2021,Ligue 2,1,Lagolese
2021,Ligue 2,2,Gonz
2021,Ligue 2,3,Jim trampoline Bilbao
2021,Ligue 3,1,Vince77
2021,Ligue 3,2,GeLo 59
2021,Ligue 3,3,Troyan
2021,Coupe,Vainqueur,GeLo 59
2021,Coupe,Finaliste,Sam/Tom
2020,Ligue 1,1,Nénéfin
2020,Ligue 1,2,Jun Deuf
2020,Ligue 1,3,Dimitri S
2020,Ligue 2,1,Skippy
2020,Ligue 2,2,Jim trampoline Bilbao
2020,Ligue 2,3,GF38
2020,Ligue 3,1,Damoki Sakai
2020,Ligue 3,1,Troyan
2020,Ligue 3,3,Nic le Doc
2019,Ligue 1,1,ElioMM
2019,Ligue 1,2,Capra
2019,Ligue 1,3,Remy / Raf
2019,Ligue 2,1,Nums
2019,Ligue 2,2,Benhijk
2019,Ligue 2,3,Commandant de bord
2019,Ligue 3,1,Troyan
2019,Ligue 3,2,Damoki Sakai
2019,Ligue 3,3,Kuerten26
2019,Ligue 4,1,Vince77
2019,Ligue 4,2,Kazu
2019,Ligue 4,3,Aelle
2019,Coupe,Vainqueur,Vince77
2019,Coupe,Finaliste,GF38
2018,Ligue 1,1,Martial
2018,Ligue 1,2,Jun Deuf
2018,Ligue 1,3,Zenigata
2018,Ligue 2,1,Benhijk
2018,Ligue 2,2,Commandant de bord
2018,Ligue 2,3,Busquets05
2018,Ligue 3,1,Wicket
2018,Ligue 3,2,TarzanFC
2018,Ligue 3,3,Troyan
2018,Ligue 4,1,Kazu
2018,Ligue 4,2,Jun
2018,Ligue 4,3,Mil
2018,Coupe,Vainqueur,Kazu
2018,Coupe,Finaliste,Johnjohn
2017,Ligue 1,1,Zenigata
2017,Ligue 1,2,Remy / Raf
2017,Ligue 1,3,Thib
2017,Ligue 2,1,Benhijk
2017,Ligue 2,2,Jim trampoline Bilbao
2017,Ligue 2,3,Vince77
2017,Ligue 3,1,Troyan
2017,Ligue 3,2,Wicket
2017,Ligue 3,3,Bruce Ho
2017,Ligue 4,1,Jun
2017,Ligue 4,2,Japin
2017,Ligue 4,3,Kazu
2017,Coupe,Vainqueur,Kazu
2017,Coupe,Finaliste,Remy / Raf
