ID Joueur;Ligue;Propriétaire;Arrivée;Départ;Remplaçant
10756;Ligue 1 (Baudens League);Nico B;J1;J38;Non
10852;Ligue 2;Sergio Schramos;J1;J38;Non
10852;National 1;AJamaisLesPremiers;J1;J38;Non
11075;Ligue 2;Bernard Lada;J1;J38;Non
11155;National 1;Candela;J1;J38;Non
11168;Ligue 2;Francis Llacer;J1;J38;Non
11168;Ligue 1 (Baudens League);David A;J1;J38;Non
11213;Ligue 2;Le Général;J1;J38;Non
11239;National 1;Fox;J1;J38;Non
11253;Ligue 2;Vestea;J1;J38;Non
11253;National 1;Pompix;J1;J38;Non
11491;Ligue 1 (Baudens League);Capra;J1;J38;Non
11491;National 1;Byrensrandup;J1;J38;Non
11567;Ligue 1 (Baudens League);Nico B;J1;J38;Non
11634;National 1;FC Terrich;J1;J38;Non
11640;Ligue 2;Magic Chris;J1;J38;Non
11640;Ligue 1 (Baudens League);Capra;J1;J38;Non
11640;National 1;GeLo 59;J1;J38;Non
11643;National 1;Corsica Nazional;J2;J34;Non
11646;Ligue 2;Benhijk;J1;J38;Non
11738;Ligue 1 (Baudens League);David A;J1;J38;Non
11839;Ligue 1 (Baudens League);Nums;J1;J38;Non
12007;Ligue 1 (Baudens League);Mathieu L.;J1;J38;Non
12106;National 1;Troyan;J1;J38;Non
12107;National 1;Fox;J1;J38;Non
12108;National 1;Troyan;J1;J38;Non
12109;Ligue 2;Xelon;J1;J38;Non
12109;Ligue 1 (Baudens League);Dimitri S;J1;J38;Non
12109;National 1;AJamaisLesPremiers;J1;J38;Non
12110;Ligue 2;Benhijk;J1;J38;Non
12117;Ligue 2;La Wish;J1;J38;Non
12122;National 1;Corsica Nazional;J1;J38;Non
12123;Ligue 2;Sergio Schramos;J1;J38;Non
12123;National 1;Corsica Nazional;J1;J38;Non
12132;National 1;Claude Poêle;J1;J38;Non
12141;Ligue 1 (Baudens League);Thib;J1;J38;Non
12179;Ligue 2;Troy;J1;J38;Non
12179;Ligue 1 (Baudens League);Duch;J2;J38;Non
12179;National 1;FC Terrich;J1;J38;Non
12180;Ligue 1 (Baudens League);Thib;J2;J38;Non
12181;Ligue 1 (Baudens League);Mathieu L.;J2;J38;Non
12182;Ligue 1 (Baudens League);Thib;J2;J38;Non
12188;Ligue 1 (Baudens League);Shima  / Jay;J2;J38;Non
12195;Ligue 2;Magic Chris;J3;J34;Non
12198;National 1;FC Terrich;J3;J34;Non
12231;National 1;Charles Al-khelaifi;J4;J34;Non
12243;National 1;Byrensrandup;J4;J34;Non
12266;Ligue 1 (Baudens League);Nénéfin;J18;J38;Non
