[dotenv@17.3.1] injecting env (0) from .env -- tip: 🤖 agentic secret storage: https://dotenvx.com/as2
Players to process: 1032

  20/1032 — 14 found, 6 not found
  40/1032 — 14 found, 26 not found
  60/1032 — 14 found, 46 not found
  80/1032 — 14 found, 66 not found
  100/1032 — 14 found, 86 not found
  120/1032 — 14 found, 106 not found
  140/1032 — 14 found, 126 not found
  160/1032 — 14 found, 146 not found
  180/1032 — 14 found, 166 not found
  200/1032 — 14 found, 186 not found
  220/1032 — 14 found, 206 not found
  240/1032 — 14 found, 226 not found
  260/1032 — 24 found, 236 not found
  280/1032 — 34 found, 246 not found
  300/1032 — 34 found, 266 not found
  320/1032 — 34 found, 286 not found
  340/1032 — 34 found, 306 not found
  360/1032 — 34 found, 326 not found
  380/1032 — 34 found, 346 not found
  400/1032 — 34 found, 366 not found
  420/1032 — 34 found, 386 not found
  440/1032 — 34 found, 406 not found
  460/1032 — 34 found, 426 not found
  480/1032 — 34 found, 446 not found
  500/1032 — 36 found, 464 not found
  520/1032 — 50 found, 470 not found
  540/1032 — 50 found, 490 not found
  560/1032 — 50 found, 510 not found
  580/1032 — 50 found, 530 not found
  600/1032 — 50 found, 550 not found
  620/1032 — 50 found, 570 not found
  640/1032 — 50 found, 590 not found
  660/1032 — 50 found, 610 not found
  680/1032 — 50 found, 630 not found
  700/1032 — 50 found, 650 not found
  720/1032 — 50 found, 670 not found
  740/1032 — 50 found, 690 not found
  760/1032 — 62 found, 698 not found
  780/1032 — 66 found, 714 not found
  800/1032 — 66 found, 734 not found
  820/1032 — 66 found, 754 not found
  840/1032 — 66 found, 774 not found
  860/1032 — 66 found, 794 not found
  880/1032 — 66 found, 814 not found
  900/1032 — 66 found, 834 not found
  920/1032 — 66 found, 854 not found
  940/1032 — 66 found, 874 not found
  960/1032 — 66 found, 894 not found
  980/1032 — 66 found, 914 not found
  1000/1032 — 73 found, 927 not found
  1020/1032 — 92 found, 928 not found

=== SUMMARY ===
  Total:     1032
  Found:     95 (9%)
  Not found: 937
  Errors:    0
